"Event","Media ID","Name","Business Name","Return Type","Total Amount"
"2004 Federal Election","5336","2PAR","Paradise FM Community Radio Association Inc","Broadcaster","3237"
"2004 Federal Election","5112","2PCR","Wyone- Gosford Progressive Community Radio Inc","Broadcaster","0"
"2004 Federal Election","4449","2PK","Parkes Broadcasting Co Pty Ltd","Broadcaster","3511"
"2004 Federal Election","5083","2RDJ-FM","RDJ-FM Community Radio Co-op Ltd","Broadcaster","0"
"2004 Federal Election","4114","2RE","Manning Valley Broadcasting Pty Ltd","Broadcaster","26338"
"2004 Federal Election","5272","2REM- Ten 73 Border AM Albury- Wodonga","Community Radio Cooperative","Broadcaster","0"
"2004 Federal Election","4485","2RGF (99.7 Star FM)","Radio 2RG Pty Ltd","Broadcaster","3087"
"2004 Federal Election","4428","2ROC - FM104.7","Canberra FM Radio","Broadcaster","20622"
"2004 Federal Election","5040","2ROK","Parkes Broadcasting","Broadcaster","2512"
"2004 Federal Election","4821","2RRR","Ryde Regional Radio Cooperative Ltd","Broadcaster","0"
"2004 Federal Election","5166","2SCR","Two State Community Radio Inc","Broadcaster","0"
"2004 Federal Election","5152","2SM","Radio 2SM Pty Ltd","Broadcaster","5060"
"2004 Federal Election","4564","2SSR FM","Sutherland Shire Community Radio Association Inc","Broadcaster","0"
"2004 Federal Election","4554","2ST","South Coast & Tablelands Broadcasting","Broadcaster","10589"
"2004 Federal Election","5096","2TEN FM","Tenterfield and District Community FM Radio Association Inc","Broadcaster","306"
"2004 Federal Election","5059","2UNE","Tune FM/ UNE Students Association","Broadcaster","0"
"2004 Federal Election","5119","2UUL","Wave FM","Broadcaster","14555"
"2004 Federal Election","4560","2VM","Moree Broadcasting & Development Co Pty Ltd","Broadcaster","2442"
"2004 Federal Election","4401","2WAY-FM","Hastings Community FM Radio Assoc Inc","Broadcaster","240"
"2004 Federal Election","5255","2WCE-FM","Charles Sturt University","Broadcaster","0"
"2004 Federal Election","4350","2WEB","2WREB Co-op Ltd","Broadcaster","150"
"2004 Federal Election","4905","2WET","Macleay Valley Community Radio","Broadcaster","0"
"2004 Federal Election","4524","2WG","Riverina Broadcasters (Holdings) Pty Ltd","Broadcaster","3447"
"2004 Federal Election","5212","2WIN","Win Radio Pty Ltd","Broadcaster","17168"
"2004 Federal Election","4555","2WSK","South Coast & Tablelands Broadcasting","Broadcaster","7995"
"2004 Federal Election","5279","2WZD","Riverina Broadcasters (Holdings) Pty Ltd","Broadcaster","4152"
"2004 Federal Election","4413","2XL","Radio Snowy Moutains Pty Ltd t/a Radio 2XL","Broadcaster","12298"
"2004 Federal Election","5335","2YAS","Yass Community Radio Inc","Broadcaster","110"
"2004 Federal Election","4314","2YOU FM","Tamworth Broadcasting Society Inc","Broadcaster","660"
"2004 Federal Election","4083","3 CAT (K-Rock 95.5)","Geelong Broadcastes Pty Ltd","Broadcaster","11728"
"2004 Federal Election","1400","3 Joy","Joy Melbourne Independent Community Broadcasters","Broadcaster","152"
"2004 Federal Election","5291","3 Kool & Deadly","South Eastern Indigenous Media Association","Broadcaster","0"
"2004 Federal Election","5169","3 One FM","Goulburn Valley Community Radio Inc","Broadcaster","440"
"2004 Federal Election","1402","3BAY (BAY FM)","Bay FM Pty Ltd","Broadcaster","12265"
"2004 Federal Election","5123","3BBR","West Gippsland Community Radio Inc","Broadcaster","0"
"2004 Federal Election","5114","3BGR","Ballarat Gospel Radio INc","Broadcaster","0"
"2004 Federal Election","4252","3BO FM","Radio 3BO Pty Ltd","Broadcaster","12255"
"2004 Federal Election","5259","3CCS","Ace Radio Broadcasters","Broadcaster","1248"
"2004 Federal Election","5158","3CR 855am","Community Radio Federation Ltd","Broadcaster","0"
"2004 Federal Election","5258","3CS","Ace Radio Broadcasters","Broadcaster","3063"
"2004 Federal Election","4828","3DIY Radio (3MR)","Monash University Union Radio Inc","Broadcaster","0"
"2004 Federal Election","5275","3GCB- Life FM","Life FM","Broadcaster","0"
"2004 Federal Election","4111","3HA","Ace Radio Broadcasters","Broadcaster","1837"
"2004 Federal Election","4827","3MBR FM","Mallee Community + Educational Broadcasters Co-op Ltd","Broadcaster","0"
"2004 Federal Election","4260","3MCR 99.7","Mansfield Community Radio Inc","Broadcaster","0"
"2004 Federal Election","5125","3MDA (99.5 Star FM)","Radio 3MA Pty Ltd","Broadcaster","3960"
"2004 Federal Election","5307","3MP","Victorian Radio Network","Broadcaster","7182"
"2004 Federal Election","4538","3NE","North East Broadcasters","Broadcaster","4157"
"2004 Federal Election","5228","3PVR","Plenty Valley Community Radio","Broadcaster","0"
"2004 Federal Election","5271","3REG","Radio East Gippsland Inc","Broadcaster","0"
"2004 Federal Election","5105","3RG","Rete Italia","Broadcaster","3740"
"2004 Federal Election","5124","3RMR (3MA97.9)","Radio 3MA Pty Ltd","Broadcaster","3960"
"2004 Federal Election","4484","3RPC FM 99.3 FM","3RPC Incorporated","Broadcaster","0"
"2004 Federal Election","4829","3RPP","Radio Port Phillip Association","Broadcaster","0"
"2004 Federal Election","4269","3RUM - Radio Upper Murray","Upper Murray Community Radio","Broadcaster","0"
"2004 Federal Election","5120","3SFM","Swan Hill Community Radio Inc","Broadcaster","220"
"2004 Federal Election","5151","3SR Shepparton (1260 AM)","3UZ Pty Ltd","Broadcaster","0"
"2004 Federal Election","4357","3SRR","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","15432"
"2004 Federal Election","5204","3SSR FM","Swinburne Student Radio Inc","Broadcaster","0"
"2004 Federal Election","4355","3SUN","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","21088"
"2004 Federal Election","5163","3TSC","Triple Seven Communications Inc","Broadcaster","0"
"2004 Federal Election","4831","3UGE","Upper Goulburn Community Radio Inc","Broadcaster","0"
"2004 Federal Election","4520","3UZ (Sport 927)","3UZ Pty Ltd","Broadcaster","0"
"2004 Federal Election","5266","3VYV","Yarra Valley Fm 99.1","Broadcaster","0"
"2004 Federal Election","4537","3WAY FM","Community Radio Endeavour Warrnambool Inc","Broadcaster","0"
"2004 Federal Election","5161","3WBC","Whitehorse Beroondara Fm Community Radio Inc","Broadcaster","0"
"2004 Federal Election","4327","3WM","Ace Radio Broadcasters","Broadcaster","6303"
"2004 Federal Election","4289","3WRB - Stereo 974","Western Radio Broadcasters Inc","Broadcaster","0"
